,coordenadas_tupla
151,"[{'lat': '24.56709', 'lon': '-81.73842', 'name': 'Stock Island', 'admin1': 'Florida', 'admin2': 'Monroe County', 'cc': 'US'}]"
587,"[{'lat': '36.41362', 'lon': '94.8157', 'name': 'Guolemude', 'admin1': 'Heilongjiang Sheng', 'admin2': '', 'cc': 'CN'}]"
987,"[{'lat': '36.41362', 'lon': '94.8157', 'name': 'Guolemude', 'admin1': 'Heilongjiang Sheng', 'admin2': '', 'cc': 'CN'}]"
1241,"[{'lat': '22.07521', 'lon': '-159.31895', 'name': ""Kapa'a"", 'admin1': 'Hawaii', 'admin2': 'Kauai County', 'cc': 'US'}]"
1303,"[{'lat': '36.41362', 'lon': '94.8157', 'name': 'Guolemude', 'admin1': 'Heilongjiang Sheng', 'admin2': '', 'cc': 'CN'}]"
1533,"[{'lat': '24.56709', 'lon': '-81.73842', 'name': 'Stock Island', 'admin1': 'Florida', 'admin2': 'Monroe County', 'cc': 'US'}]"
1961,"[{'lat': '24.56709', 'lon': '-81.73842', 'name': 'Stock Island', 'admin1': 'Florida', 'admin2': 'Monroe County', 'cc': 'US'}]"
2110,"[{'lat': '24.59653', 'lon': '-81.66009', 'name': 'Big Coppitt Key', 'admin1': 'Florida', 'admin2': 'Monroe County', 'cc': 'US'}]"
2318,"[{'lat': '24.66987', 'lon': '-81.35397', 'name': 'Big Pine Key', 'admin1': 'Florida', 'admin2': 'Monroe County', 'cc': 'US'}]"
2808,"[{'lat': '24.56709', 'lon': '-81.73842', 'name': 'Stock Island', 'admin1': 'Florida', 'admin2': 'Monroe County', 'cc': 'US'}]"
4468,"[{'lat': '24.59653', 'lon': '-81.66009', 'name': 'Big Coppitt Key', 'admin1': 'Florida', 'admin2': 'Monroe County', 'cc': 'US'}]"
4993,"[{'lat': '24.66987', 'lon': '-81.35397', 'name': 'Big Pine Key', 'admin1': 'Florida', 'admin2': 'Monroe County', 'cc': 'US'}]"
6304,"[{'lat': '24.71375', 'lon': '-81.09035', 'name': 'Marathon', 'admin1': 'Florida', 'admin2': 'Monroe County', 'cc': 'US'}]"
6511,"[{'lat': '-27.11124', 'lon': '-109.35053', 'name': 'Ostrov Paskhi', 'admin1': '', 'admin2': '', 'cc': 'CL'}]"
6883,"[{'lat': '36.41362', 'lon': '94.8157', 'name': 'Guolemude', 'admin1': 'Heilongjiang Sheng', 'admin2': '', 'cc': 'CN'}]"
7213,"[{'lat': '24.5557', 'lon': '-81.78259', 'name': 'Key West', 'admin1': 'Florida', 'admin2': 'Monroe County', 'cc': 'US'}]"
9429,"[{'lat': '22.21208', 'lon': '-159.41342', 'name': 'Kilauea', 'admin1': 'Hawaii', 'admin2': 'Kauai County', 'cc': 'US'}]"
9490,"[{'lat': '24.71375', 'lon': '-81.09035', 'name': 'Marathon', 'admin1': 'Florida', 'admin2': 'Monroe County', 'cc': 'US'}]"
9544,"[{'lat': '36.41362', 'lon': '94.8157', 'name': 'Guolemude', 'admin1': 'Heilongjiang Sheng', 'admin2': '', 'cc': 'CN'}]"
9631,"[{'lat': '24.71375', 'lon': '-81.09035', 'name': 'Marathon', 'admin1': 'Florida', 'admin2': 'Monroe County', 'cc': 'US'}]"
10467,"[{'lat': '24.56709', 'lon': '-81.73842', 'name': 'Stock Island', 'admin1': 'Florida', 'admin2': 'Monroe County', 'cc': 'US'}]"
10612,"[{'lat': '24.5557', 'lon': '-81.78259', 'name': 'Key West', 'admin1': 'Florida', 'admin2': 'Monroe County', 'cc': 'US'}]"
10721,"[{'lat': '24.56709', 'lon': '-81.73842', 'name': 'Stock Island', 'admin1': 'Florida', 'admin2': 'Monroe County', 'cc': 'US'}]"
10738,"[{'lat': '48.99372', 'lon': '-122.74712', 'name': 'Blaine', 'admin1': 'Washington', 'admin2': 'Whatcom County', 'cc': 'US'}]"
11283,"[{'lat': '24.67153', 'lon': '-81.49842', 'name': 'Cudjoe Key', 'admin1': 'Florida', 'admin2': 'Monroe County', 'cc': 'US'}]"
12629,"[{'lat': '36.41362', 'lon': '94.8157', 'name': 'Guolemude', 'admin1': 'Heilongjiang Sheng', 'admin2': '', 'cc': 'CN'}]"
13539,"[{'lat': '36.41362', 'lon': '94.8157', 'name': 'Guolemude', 'admin1': 'Heilongjiang Sheng', 'admin2': '', 'cc': 'CN'}]"
14020,"[{'lat': '24.59653', 'lon': '-81.66009', 'name': 'Big Coppitt Key', 'admin1': 'Florida', 'admin2': 'Monroe County', 'cc': 'US'}]"
16792,"[{'lat': '24.56709', 'lon': '-81.73842', 'name': 'Stock Island', 'admin1': 'Florida', 'admin2': 'Monroe County', 'cc': 'US'}]"
16842,"[{'lat': '36.41362', 'lon': '94.8157', 'name': 'Guolemude', 'admin1': 'Heilongjiang Sheng', 'admin2': '', 'cc': 'CN'}]"
17958,"[{'lat': '36.41362', 'lon': '94.8157', 'name': 'Guolemude', 'admin1': 'Heilongjiang Sheng', 'admin2': '', 'cc': 'CN'}]"
18611,"[{'lat': '24.56709', 'lon': '-81.73842', 'name': 'Stock Island', 'admin1': 'Florida', 'admin2': 'Monroe County', 'cc': 'US'}]"
18687,"[{'lat': '24.59653', 'lon': '-81.66009', 'name': 'Big Coppitt Key', 'admin1': 'Florida', 'admin2': 'Monroe County', 'cc': 'US'}]"
18722,"[{'lat': '36.41362', 'lon': '94.8157', 'name': 'Guolemude', 'admin1': 'Heilongjiang Sheng', 'admin2': '', 'cc': 'CN'}]"
18839,"[{'lat': '24.56709', 'lon': '-81.73842', 'name': 'Stock Island', 'admin1': 'Florida', 'admin2': 'Monroe County', 'cc': 'US'}]"
19273,"[{'lat': '4.86992', 'lon': '-2.24046', 'name': 'Axim', 'admin1': 'Western', 'admin2': '', 'cc': 'GH'}]"
22329,"[{'lat': '24.66987', 'lon': '-81.35397', 'name': 'Big Pine Key', 'admin1': 'Florida', 'admin2': 'Monroe County', 'cc': 'US'}]"
23382,"[{'lat': '36.41362', 'lon': '94.8157', 'name': 'Guolemude', 'admin1': 'Heilongjiang Sheng', 'admin2': '', 'cc': 'CN'}]"
23491,"[{'lat': '36.41362', 'lon': '94.8157', 'name': 'Guolemude', 'admin1': 'Heilongjiang Sheng', 'admin2': '', 'cc': 'CN'}]"
23529,"[{'lat': '36.41362', 'lon': '94.8157', 'name': 'Guolemude', 'admin1': 'Heilongjiang Sheng', 'admin2': '', 'cc': 'CN'}]"
